DEB [20230122-23:10:04.103] thr=1   paramiko.transport: starting thread (client mode): 0xbfe04460
DEB [20230122-23:10:04.104] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230122-23:10:04.112] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230122-23:10:04.113] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230122-23:10:04.115] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230122-23:10:04.116] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230122-23:10:04.116] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230122-23:10:04.116] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230122-23:10:04.116] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230122-23:10:04.117] thr=1   paramiko.transport: Compression agreed: none
DEB [20230122-23:10:04.126] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230122-23:10:04.127] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230122-23:10:24.128] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-10:17:37.757] thr=1   paramiko.transport: starting thread (client mode): 0xcb69fc70
DEB [20230123-10:17:37.758] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-10:17:37.815] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-10:17:37.815] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-10:17:37.817] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-10:17:37.817] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-10:17:37.818] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-10:17:37.818] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-10:17:37.818] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-10:17:37.819] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-10:17:37.872] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-10:17:37.873] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-10:17:57.875] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-10:18:21.324] thr=1   paramiko.transport: starting thread (client mode): 0x310efc70
DEB [20230123-10:18:21.325] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-10:18:21.335] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-10:18:21.335] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-10:18:21.338] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-10:18:21.339] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-10:18:21.339] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-10:18:21.339] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-10:18:21.339] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-10:18:21.340] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-10:18:21.345] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-10:18:21.346] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-10:18:41.347] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-10:25:09.757] thr=1   paramiko.transport: starting thread (client mode): 0x42e8fc70
DEB [20230123-10:25:09.758] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-10:25:09.782] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-10:25:09.783] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-10:25:09.785] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-10:25:09.786] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-10:25:09.786] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-10:25:09.786] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-10:25:09.786] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-10:25:09.787] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-10:25:09.792] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-10:25:09.793] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-10:25:29.794] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-10:29:33.687] thr=1   paramiko.transport: starting thread (client mode): 0x331afc70
DEB [20230123-10:29:33.688] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-10:29:33.710] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-10:29:33.710] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
